"fips_code","popsize"
"18097",951869
"18099",46461
"18101",10212
"18103",35815
"18105",146461
"18107",38287
"18109",69922
"18111",13992
"18113",47506
"18115",5874
"18117",19545
"18119",20835
"18121",16946
"18123",19102
"18125",12378
"18127",168636
"18129",25560
"18131",12559
"18133",37384
"18135",24926
"18137",28391
"18139",16641
"18141",270216
"18143",23759
"18145",44438
"18147",20447
"18149",22952
"18151",34453
"18153",20730
"18155",10685
"18157",191553
"18159",15162
"18161",7113
"18163",181291
"18165",15539
"18167",107459
"18169",31389
"18171",8237
"18173",62280
"18175",27848
"18177",66342
"18179",28011
"18181",24149
"18183",33730
"19001",7085
"19003",3670
"19005",13813
"19007",12452
"19009",5571
"19011",25636
"19013",132393
"19015",26370
"19017",24864
"19019",21118
"19021",20058
"19023",14628
"19025",9744
"19027",20281
"19029",13091
"19031",18457
"19033",42834
"19035",11343
"19037",12026
"19039",9360
"19041",16211
"19043",17625
"19045",46909
"19047",17034
"19049",87099
"19051",8920
"19053",7979
"19055",17183
"19057",39386
"19059",17127
"19061",96982
"19063",9438
"19065",19803
"19067",15786
"19069",10162
"19071",6946
"19073",8950
"19075",12299
"19077",10669
"19079",14997
"19081",10802
"19083",17061
"19085",14089
"19087",19941
"19089",9226
"19091",9554
"19093",6901
"19095",16189
"19097",19401
"19099",36971
"19101",18148
"19103",148577
"19105",20559
"19107",10188
"19109",14978
"19111",34227
"19113",223861
"19115",11178
"19117",8583
"19119",11776
"19121",16012
"19123",22164
"19125",33172
"19127",39964
"19129",15034
"19131",10608
"19133",8730
"19135",7807
"19137",10053
"19139",42889
"19141",13835
"19143",6052
"19145",15268
"19147",9003
"19149",25068
"19151",6797
"19153",479612
"19155",93393
"19157",18388
"19159",4964
"19161",9802
"19163",172446
"19165",11606
"19167",34827
"19169",96941
"19171",17032
"19173",6167
"19175",12358
"19177",7150
"19179",35141
"19181",50076
"19183",22100
"19185",6429
"19187",36545
"19189",10534
"19191",20262
"19193",102586
"19195",7445
"19197",12739
"20001",12556
"20003",7835
"20005",16268
"20007",4624
"20009",26453
"20011",14608
"20013",9626
"20015",66698
"20017",2637
"20019",3323
"20021",20179
"20023",2665
"20025",2026
"20027",8082
"20029",8938
"20031",8254
"20033",1740
"20035",35351
"20037",38968
"20039",2860
"20041",18828
"20043",7684
"20045",120290
"20047",2869
"20049",2523
"20051",28775
"20053",6231
"20055",36750
"20057",34179
"20059",25558
"20061",34025
"20063",2644
"20065",2519
"20067",7467
"20069",6039
"20071",1185
"20073",6081
"20075",2591
"20077",5594
"20079",34503
"20081",4018
"20083",1876
"20085",13266
"20087",18890
"20089",2885
"20091",591506
"20093",3907
"20095",7340
"20097",2505
"20099",20119
"20101",1564
"20103",80745
"20105",3044
"20107",9671
"20109",2805
"20111",33251
"20113",28567
"20115",11964
"20117",9749
"20119",4180
"20121",33417
"20123",6145
"20125",32521
"20127",5566
"20129",2754
"20131",10121
"20133",16108
"20135",2876
"20137",5446
"20139",15881
"20141",3530
"20143",5822
"20145",6629
"20147",5340
"20149",23847
"20151",9452
"20153",2502
"20155",62765
"20157",4658
"20159",9658
"20161",75056
"20163",5053
"20165",3022
"20167",6948
"20169",54701
"20171",4917
"20173",513375
"20175",22349
"20177",177852
"20179",2506
"20181",5938
"20183",3627
"20185",4181
"20187",2052
"20189",5603
"20191",23114
"20193",7810
