"CityTown","StateTerritory","lat","lon","locality","state","county","Location"
"Bandon","OR","43.118998","-124.408448","Bandon","OR","Coos County","Bandon, OR"
"Bangor","ME","44.801613","-68.771226","Bangor","ME","Penobscot County","Bangor, ME"
"Bangor","PA","40.865652","-75.206568","Bangor","PA","Northampton County","Bangor, PA"
"Banks","OR","45.6178","-123.11441","Banks","OR","Washington County","Banks, OR"
"Bar Harbor","ME","44.387612","-68.203912","Bar Harbor","ME","Hancock County","Bar Harbor, ME"
"Baraboo","WI","43.471094","-89.744291","Baraboo","WI","Sauk County","Baraboo, WI"
"Baraga","MI","46.778543","-88.489019","Baraga","MI","Baraga County","Baraga, MI"
"Barberton","OH","41.012833","-81.605122","Barberton","OH","Summit County","Barberton, OH"
"Barboursville","WV","38.40953","-82.294592","Barboursville","WV","Cabell County","Barboursville, WV"
"Barbourville","KY","36.866476","-83.888814","Barbourville","KY","Knox County","Barbourville, KY"
"Barco","NC","36.388013","-75.978582","Barco","NC","Currituck County","Barco, NC"
"Bardstown","KY","37.809228","-85.466902","Bardstown","KY","Nelson County","Bardstown, KY"
"Barnegat Township","NJ","39.764922","-74.26933","Barnegat Township","NJ","Ocean County","Barnegat Township, NJ"
